seq ,id   ,name                                  ,url                                                                         ,inst1                                                                                  ,institute                                                                            ,institute-url                          ,flag
 34 ,IN15 ,AUV-IITK                              ,                                                                            ,"Indian Institute of Technology Kanpur , University"                                   ,"Indian Institute of Technology Kanpur, University"                                  ,https://www.iitk.ac.in/                ,🇮🇳
 35 ,IN16 ,Team VAUV                             ,                                                                            ,"Vellore Institute Of Technology, Vellore"                                             ,"Vellore Institute of Technology, Vellore"                                           ,https://www.vit.ac.in/                 ,🇮🇳
 36 ,LK01 ,Team Yathra                           ,                                                                            ,University of Peradeniya                                                               ,University of Peradeniya                                                             ,https://www.pdn.ac.lk/                 ,🇱🇰
 37 ,LK02 ,Team Diyakawa                         ,                                                                            ,University of Moratuwa                                                                 ,University of Moratuwa                                                               ,https://www.mrt.ac.lk/                 ,🇱🇰
 38 ,MO01 ,Immortal Bird                         ,                                                                            ,PUI CHING MIDDLE SCHOOL MACAU                                                          ,"Pui Ching Middle School, Macau"                                                     ,https://www.puiching.edu.mo/           ,🇲🇴
 39 ,MY01 ,UTM AUV ELITE (UAE)                   ,                                                                            ,"University of Technology, Malaysia"                                                   ,"University of Technology, Malaysia"                                                 ,https://www.utm.my/                    ,🇲🇾
 40 ,RU01 ,geek.py                               ,                                                                            ,FEFU/IMTP                                                                              ,Far Eastern Federal University (FEFU/IMTP)                                           ,https://www.dvfu.ru/                   ,🇷🇺
 41 ,RU02 ,Hydronautics                          ,https://github.com/hydronautics-team                                        ,Bauman Moscow State Technical University                                               ,Bauman Moscow State Technical University                                             ,https://www.bmstu.ru/                  ,🇷🇺
 42 ,SG01 ,HornetX                               ,                                                                            ,"National University of Singapore, University"                                         ,National University of Singapore                                                     ,https://www.nus.edu.sg/                ,🇸🇬
 43 ,SG02 ,Team Torpedo                          ,                                                                            ,PSB Academy                                                                            ,PSB Academy                                                                          ,https://www.psb-academy.edu.sg/        ,🇸🇬
 44 ,SG03 ,SUTD_UWU                              ,                                                                            ,Singapore University of Technology and Design                                          ,Singapore University of Technology and Design                                        ,https://www.sutd.edu.sg/               ,🇸🇬
 45 ,SG04 ,Venturer SP                           ,                                                                            ,Sinagpore Polytechnic                                                                  ,Singapore Polytechnic                                                                ,https://www.sp.edu.sg/                 ,🇸🇬
 46 ,SG05 ,Mecatron (Kevin AUV)                  ,                                                                            ,Nanyang Technological University                                                       ,Nanyang Technological University                                                     ,https://www.ntu.edu.sg/                ,🇸🇬
 47 ,TR01 ,ABYSS                                 ,                                                                            ,Marmara Univesity                                                                      ,Marmara University                                                                   ,https://www.marmara.edu.tr/            ,🇹🇷
 48 ,TR02 ,MYS Abdülhamid                        ,                                                                            ,Selcuk University                                                                      ,Selcuk University                                                                    ,https://www.selcuk.edu.tr/             ,🇹🇷
 49 ,TR03 ,SOBAT AUV TEAM                        ,                                                                            ,Gazi University                                                                        ,Gazi University                                                                      ,https://www.gazi.edu.tr/               ,🇹🇷
 50 ,TR04 ,ALESTA                                ,                                                                            ,Adana Science High School                                                              ,Adana Science High School                                                            ,https://adanafenlisesi.meb.k12.tr/     ,🇹🇷
 51 ,TR05 ,FangTooth                             ,                                                                            ,Çapa Science High School                                                               ,Çapa Science High School                                                             ,https://capa.meb.k12.tr/               ,🇹🇷
